,id,news_detail,news_detail_split,news_detail_clean
0,36809,nan,['nan'],['nan']
1,↵,6,['6'],[]
2,36810,6月8日消息，新国都,"['6', '月', '8', '日', '消息', '，', '新国', '都']",['新国']
3,36811,6月8日消息，博迈科,"['6', '月', '8', '日', '消息', '，', '博迈科']",['博迈科']
4,36812,6月8日消息，恒力股,"['6', '月', '8', '日', '消息', '，', '恒力', '股']","['恒力', '股']"
5,36813,6月8日消息，万润科,"['6', '月', '8', '日', '消息', '，', '万润科']",['万润科']
6,36814,6月8日消息，近日共,"['6', '月', '8', '日', '消息', '，', '近日', '共']",['近日']
7,36815,6月8日消息，近日庄,"['6', '月', '8', '日', '消息', '，', '近日', '庄']","['近日', '庄']"
8,36821,摘要【失落的地产股：,"['摘要', '【', '失落', '的', '地产股', '：']","['摘要', '失落', '地产股']"
9,36822,摘要【失落的地产股：,"['摘要', '【', '失落', '的', '地产股', '：']","['摘要', '失落', '地产股']"
10,36823,摘要【失落的地产股：,"['摘要', '【', '失落', '的', '地产股', '：']","['摘要', '失落', '地产股']"
11,36824,摘要【失落的地产股：,"['摘要', '【', '失落', '的', '地产股', '：']","['摘要', '失落', '地产股']"
12,36825,摘要【失落的地产股：,"['摘要', '【', '失落', '的', '地产股', '：']","['摘要', '失落', '地产股']"
13,36826,摘要【失落的地产股：,"['摘要', '【', '失落', '的', '地产股', '：']","['摘要', '失落', '地产股']"
14,36827,摘要【失落的地产股：,"['摘要', '【', '失落', '的', '地产股', '：']","['摘要', '失落', '地产股']"
15,36828,摘要【失落的地产股：,"['摘要', '【', '失落', '的', '地产股', '：']","['摘要', '失落', '地产股']"
